Candle Compra: 4127, Candle Venda: 4146, Horário Compra: 2024-01-03 20:47:00, Horário Venda: 2024-01-03 21:06:00, Preço Compra: 212297, Preço Venda: 212269, Percentual: -0.01%
Candle Compra: 4149, Candle Venda: 4162, Horário Compra: 2024-01-03 21:09:00, Horário Venda: 2024-01-03 21:22:00, Preço Compra: 212937, Preço Venda: 212657, Percentual: -0.13%
Candle Compra: 4176, Candle Venda: 4187, Horário Compra: 2024-01-03 21:36:00, Horário Venda: 2024-01-03 21:47:00, Preço Compra: 213105, Preço Venda: 212656, Percentual: -0.21%
Candle Compra: 4197, Candle Venda: 4207, Horário Compra: 2024-01-03 21:57:00, Horário Venda: 2024-01-03 22:07:00, Preço Compra: 212730, Preço Venda: 212552, Percentual: -0.08%
Candle Compra: 4213, Candle Venda: 4215, Horário Compra: 2024-01-03 22:13:00, Horário Venda: 2024-01-03 22:15:00, Preço Compra: 212822, Preço Venda: 212583, Percentual: -0.11%
Candle Compra: 4230, Candle Venda: 4240, Horário Compra: 2024-01-03 22:30:00, Horário Venda: 2024-01-03 22:40:00, Preço Compra: 212228, Preço Venda: 211729, Percentual: -0.24%
Candle Compra: 4242, Candle Venda: 4243, Horário Compra: 2024-01-03 22:42:00, Horário Venda: 2024-01-03 22:43:00, Preço Compra: 211808, Preço Venda: 211672, Percentual: -0.06%
Candle Compra: 4244, Candle Venda: 4341, Horário Compra: 2024-01-03 22:44:00, Horário Venda: 2024-01-04 00:21:00, Preço Compra: 211725, Preço Venda: 213726, Percentual: 0.95%
Candle Compra: 4360, Candle Venda: 4381, Horário Compra: 2024-01-04 00:40:00, Horário Venda: 2024-01-04 01:01:00, Preço Compra: 213554, Preço Venda: 213366, Percentual: -0.09%
Candle Compra: 4391, Candle Venda: 4392, Horário Compra: 2024-01-04 01:11:00, Horário Venda: 2024-01-04 01:12:00, Preço Compra: 213417, Preço Venda: 213211, Percentual: -0.1%
Candle Compra: 4393, Candle Venda: 4460, Horário Compra: 2024-01-04 01:13:00, Horário Venda: 2024-01-04 02:20:00, Preço Compra: 213371, Preço Venda: 213868, Percentual: 0.23%
Candle Compra: 4473, Candle Venda: 4490, Horário Compra: 2024-01-04 02:33:00, Horário Venda: 2024-01-04 02:50:00, Preço Compra: 213850, Preço Venda: 214042, Percentual: 0.09%
Candle Compra: 4504, Candle Venda: 4513, Horário Compra: 2024-01-04 03:04:00, Horário Venda: 2024-01-04 03:13:00, Preço Compra: 214405, Preço Venda: 214043, Percentual: -0.17%
Candle Compra: 4530, Candle Venda: 4549, Horário Compra: 2024-01-04 03:30:00, Horário Venda: 2024-01-04 03:49:00, Preço Compra: 214014, Preço Venda: 214106, Percentual: 0.04%
Candle Compra: 4563, Candle Venda: 4569, Horário Compra: 2024-01-04 04:03:00, Horário Venda: 2024-01-04 04:09:00, Preço Compra: 214257, Preço Venda: 214078, Percentual: -0.08%
Candle Compra: 4587, Candle Venda: 4600, Horário Compra: 2024-01-04 04:27:00, Horário Venda: 2024-01-04 04:40:00, Preço Compra: 213671, Preço Venda: 213433, Percentual: -0.11%
Candle Compra: 4621, Candle Venda: 4637, Horário Compra: 2024-01-04 05:01:00, Horário Venda: 2024-01-04 05:17:00, Preço Compra: 212747, Preço Venda: 212265, Percentual: -0.23%
Candle Compra: 4640, Candle Venda: 4655, Horário Compra: 2024-01-04 05:20:00, Horário Venda: 2024-01-04 05:35:00, Preço Compra: 212730, Preço Venda: 212633, Percentual: -0.05%
Candle Compra: 4669, Candle Venda: 4748, Horário Compra: 2024-01-04 05:49:00, Horário Venda: 2024-01-04 07:08:00, Preço Compra: 212440, Preço Venda: 213232, Percentual: 0.37%
Candle Compra: 4770, Candle Venda: 4812, Horário Compra: 2024-01-04 07:30:00, Horário Venda: 2024-01-04 08:12:00, Preço Compra: 212423, Preço Venda: 213497, Percentual: 0.51%
Candle Compra: 4822, Candle Venda: 4863, Horário Compra: 2024-01-04 08:22:00, Horário Venda: 2024-01-04 09:03:00, Preço Compra: 213880, Preço Venda: 213800, Percentual: -0.04%
Candle Compra: 4872, Candle Venda: 4886, Horário Compra: 2024-01-04 09:12:00, Horário Venda: 2024-01-04 09:26:00, Preço Compra: 214059, Preço Venda: 213727, Percentual: -0.16%
Candle Compra: 4897, Candle Venda: 4926, Horário Compra: 2024-01-04 09:37:00, Horário Venda: 2024-01-04 10:06:00, Preço Compra: 214192, Preço Venda: 214326, Percentual: 0.06%
Candle Compra: 4941, Candle Venda: 4948, Horário Compra: 2024-01-04 10:21:00, Horário Venda: 2024-01-04 10:28:00, Preço Compra: 214226, Preço Venda: 213723, Percentual: -0.23%
Candle Compra: 4953, Candle Venda: 4981, Horário Compra: 2024-01-04 10:33:00, Horário Venda: 2024-01-04 11:01:00, Preço Compra: 214193, Preço Venda: 214554, Percentual: 0.17%
Candle Compra: 4995, Candle Venda: 5012, Horário Compra: 2024-01-04 11:15:00, Horário Venda: 2024-01-04 11:32:00, Preço Compra: 215170, Preço Venda: 215005, Percentual: -0.08%
Candle Compra: 5023, Candle Venda: 5092, Horário Compra: 2024-01-04 11:43:00, Horário Venda: 2024-01-04 12:52:00, Preço Compra: 215200, Preço Venda: 217746, Percentual: 1.18%
Candle Compra: 5101, Candle Venda: 5104, Horário Compra: 2024-01-04 13:01:00, Horário Venda: 2024-01-04 13:04:00, Preço Compra: 218269, Preço Venda: 217665, Percentual: -0.28%
Candle Compra: 5117, Candle Venda: 5124, Horário Compra: 2024-01-04 13:17:00, Horário Venda: 2024-01-04 13:24:00, Preço Compra: 217605, Preço Venda: 216690, Percentual: -0.42%
Candle Compra: 5136, Candle Venda: 5163, Horário Compra: 2024-01-04 13:36:00, Horário Venda: 2024-01-04 14:03:00, Preço Compra: 216715, Preço Venda: 216880, Percentual: 0.08%
Candle Compra: 5166, Candle Venda: 5192, Horário Compra: 2024-01-04 14:06:00, Horário Venda: 2024-01-04 14:32:00, Preço Compra: 217342, Preço Venda: 217775, Percentual: 0.20%
Candle Compra: 5210, Candle Venda: 5233, Horário Compra: 2024-01-04 14:50:00, Horário Venda: 2024-01-04 15:13:00, Preço Compra: 217380, Preço Venda: 217675, Percentual: 0.14%
Candle Compra: 5246, Candle Venda: 5254, Horário Compra: 2024-01-04 15:26:00, Horário Venda: 2024-01-04 15:34:00, Preço Compra: 217890, Preço Venda: 217561, Percentual: -0.15%
Candle Compra: 5259, Candle Venda: 5313, Horário Compra: 2024-01-04 15:39:00, Horário Venda: 2024-01-04 16:33:00, Preço Compra: 217929, Preço Venda: 218600, Percentual: 0.31%
Candle Compra: 5340, Candle Venda: 5391, Horário Compra: 2024-01-04 17:00:00, Horário Venda: 2024-01-04 17:51:00, Preço Compra: 217488, Preço Venda: 218278, Percentual: 0.36%
Candle Compra: 5402, Candle Venda: 5416, Horário Compra: 2024-01-04 18:02:00, Horário Venda: 2024-01-04 18:16:00, Preço Compra: 219243, Preço Venda: 218601, Percentual: -0.29%
Candle Compra: 5423, Candle Venda: 5436, Horário Compra: 2024-01-04 18:23:00, Horário Venda: 2024-01-04 18:36:00, Preço Compra: 219285, Preço Venda: 218882, Percentual: -0.18%
Candle Compra: 5448, Candle Venda: 5484, Horário Compra: 2024-01-04 18:48:00, Horário Venda: 2024-01-04 19:24:00, Preço Compra: 219257, Preço Venda: 219919, Percentual: 0.30%
Candle Compra: 5512, Candle Venda: 5532, Horário Compra: 2024-01-04 19:52:00, Horário Venda: 2024-01-04 20:12:00, Preço Compra: 219245, Preço Venda: 218602, Percentual: -0.29%
Candle Compra: 5536, Candle Venda: 5552, Horário Compra: 2024-01-04 20:16:00, Horário Venda: 2024-01-04 20:32:00, Preço Compra: 218733, Preço Venda: 218736, Percentual: 0.00%
Candle Compra: 5569, Candle Venda: 5572, Horário Compra: 2024-01-04 20:49:00, Horário Venda: 2024-01-04 20:52:00, Preço Compra: 218375, Preço Venda: 218083, Percentual: -0.13%
